CALLE,ALT PLANO,DIRECCION,coord_X,coord_Y,COMUNA,BARRIO,L1,l1_sen,L2,l2_sen,L3,l3_sen,L4,l4_sen,L5,l5_sen,L6,l6_sen
DEFENSA,"1524",1524 DEFENSA,-58.370994,-34.625658,"1",SAN TELMO,"22",V,"53",I,,,,,,,,
DEFENSA,"1528",1528 DEFENSA,-58.370999,-34.62571,"1",SAN TELMO,"29",I,,,,,,,,,,
BARTOLOME MITRE,"722","MITRE, BARTOLOME 722",-58.376843,-34.60701,"1",SAN NICOLAS,"105",V,,,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"51",51 REGIMIENTO DE PATRICIOS AV.,-58.370663,-34.630225,"4",BARRACAS,"93",I,"70",V,"74",I,,,,,,
REGIMIENTO DE PATRICIOS AV.,"389",389 REGIMIENTO DE PATRICIOS AV.,-58.37036,-34.633409,"4",BARRACAS,"10",I,"22",I,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"435",435 REGIMIENTO DE PATRICIOS AV.,-58.370277,-34.634011,"4",BARRACAS,"24",i,"46",V,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"471",471 REGIMIENTO DE PATRICIOS AV.,-58.370232,-34.634299,"4",BARRACAS,"39",V,"93",I,,,,,,,,
BARTOLOME MITRE,"906","906 MITRE, BARTOLOME",-58.379658,-34.607215,"1",SAN NICOLAS,"105",V,,,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"673",673 REGIMIENTO DE PATRICIOS AV.,-58.369933,-34.636199,"4",BARRACAS,"70",V,"74",I,,,,,,,,
BARTOLOME MITRE,"1208","MITRE, BARTOLOME 1208",-58.383645,-34.60748,"1",SAN NICOLAS,"105",V,,,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"717",717 REGIMIENTO DE PATRICIOS AV.,-58.369854,-34.636722,"4",BARRACAS,"39",V,"93",I,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"761",761 REGIMIENTO DE PATRICIOS AV.,-58.369813,-34.636987,"4",BARRACAS,"10",I,"24",I,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"787",787 REGIMIENTO DE PATRICIOS AV.,-58.369785,-34.637171,"4",BARRACAS,"22",I,"46",V,,,,,,,,
BARTOLOME MITRE,"1444","1444 MITRE, BARTOLOME",-58.386906,-34.607741,"1",SAN NICOLAS,"7",V,"8",V,,,,,,,,
BARTOLOME MITRE,"1464","1464 MITRE, BARTOLOME",-58.387152,-34.607756,"1",SAN NICOLAS,"105",V,"98",I,,,,,,,,
BOLIVAR,"1515",1515 BOLIVAR,-58.372663,-34.625724,"1",SAN TELMO,"24",I,"29",V,,,,,,,,
RIVADAVIA AV.,"363",363 RIVADAVIA AV.,-58.371233,-34.607724,"1",SAN NICOLAS,"22",I,"50",I,"91",I,"103",I,,,,
RIVADAVIA AV.,"367",367 RIVADAVIA AV.,-58.371634,-34.607787,"1",SAN NICOLAS,"7",I,"56",I,"126",I,"105",I,,,,
RIVADAVIA AV.,"371",371 RIVADAVIA AV.,-58.371541,-34.607195,"1",SAN NICOLAS,"29",I,"64",I,,,,,,,,
BOLIVAR,"1589",1589 BOLIVAR,-58.37261,-34.626516,"1",SAN TELMO,"22",I,,,,,,,,,,
RIVADAVIA AV.,"371",371 RIVADAVIA AV.,-58.371541,-34.607195,"1",SAN NICOLAS,"111",I,"146",I,,,,,,,,
RIVADAVIA AV.,"371",371 RIVADAVIA AV.,-58.371541,-34.607195,"1",SAN NICOLAS,"28",I,,,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1125",1125 REGIMIENTO DE PATRICIOS AV.,-58.369233,-34.640725,"4",BARRACAS,"24",I,"70",V,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1151",1151 REGIMIENTO DE PATRICIOS AV.,-58.369216,-34.640833,"4",BARRACAS,"10",I,"74",I,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1175",1175 REGIMIENTO DE PATRICIOS AV.,-58.369201,-34.640933,"4",BARRACAS,"39",V,"93",I,,,,,,,,
CALLAO AV.,"131",131 CALLAO AVE,-58.39196,-34.607594,"1",SAN NICOLAS,"12",I,,,,,,,,,,
CALLAO AV.,"157",157 CALLAO AV.,-58.391981,-34.607307,"1",SAN NICOLAS,"37",V,,,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1353",1353 REGIMIENTO DE PATRICIOS AV.,-58.36895,-34.642619,"4",BARRACAS,"33",I,,,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1439",1439 REGIMIENTO DE PATRICIOS AV.,-58.368855,-34.643263,"4",BARRACAS,"24",I,"70",V,,,,,,,,
CALLAO AV.,"323",323 CALLAO AV.,-58.392116,-34.605394,"1",SAN NICOLAS,"60",I,,,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1471",1471 REGIMIENTO DE PATRICIOS AV.,-58.368817,-34.643516,"4",BARRACAS,"10",I,"74",I,,,,,,,,
REGIMIENTO DE PATRICIOS AV.,"1487",1487 REGIMIENTO DE PATRICIOS AV.,-58.368796,-34.643663,"4",BARRACAS,"39",V,"93",I,,,,,,,,
